"Note","Description","key"
"5,0","Après le chef d'oeuvre super-héroïque The Dark Knight, Christopher Nolan a carte blanche pour réaliser son prochain long-métrage. Il se met alors à la réalisation d'un film, co-écrit avec son frère, et qui a pour nom ""Inception"".Le récit mélange la réalité et le rêve. Le spectateur se méprend alors, puis apprend à discerner le vrai du faux, à trouver les clés du scénario.Inception est un chef d'oeuvre. Un véritable chef d'oeuvre. Christopher Nolan illustre son talent, de par sa réalisation et son scénario. Intelligence pure, ce dernier se révèle complexe à première vue. Puis, au long du visionnage, l'on se rend peu à peu compte de sa force, de sa puissance émotionnelle, de sa capacité à brouiller les pistes. Celles-ci sont également éparpillées grâce à une mise en scène incroyable, osant le grandiose et l'intime. Inception peut s'avérer être un blockbuster ultra-visuel mais également un drame prenant, puisque l'intrigue principale est finalement le deuil.Pour parfaire cette grande production, Nolan a recourt à un casting prestigieux. En tête d'affiche, Leonardo DiCaprio dans un rôle fort. L'acteur se trouve être de loin à la hauteur puisqu'il insuffle beaucoup de charisme et de sentiments à son personnage. Nous retrouvons également Joseph Gordon-Levitt, jusque là peu célèbre, ainsi que Ellen Page et Michael Caine (qui tourne avec Nolan depuis Batman Begins).Hans Zimmer compose la Bande Originale. Cette dernière accompagne le film tout au long, jouant sur le suspens de certaines scènes ou sur les fortes émotions qui s'en dégagent (Time restant l'une des meilleures musiques du compositeurs).Avec Inception, Christopher Nolan montre une nouvelle fois qu'il est l'un des cinéastes contemporains les plus talentueux. S'appuyant sur des scénarios solides, ses grosses productions se trouvent être des blockbusters intelligents, étendards du cinéma de demain.",0
"5,0","C’est fou ce qu’on aime détester Christopher Nolan…Plus ses films sortent et plus ça jase sur lui, sur ce qu’il fait, sur ce qu’il prétend faire…Et là vu qu’au moment de la rédaction de cette critique, « Tenet » va très bientôt sortir, l’envie m’a pris de remettre quelques points sur les « i ». Et quel meilleur film qu’ « Inception » pour le faire ?…Pourquoi « Inception » ?D’abord parce qu’il est sûrement – devant « Interstellar » – le film le plus ciblé et le plus cité par les détracteurs du cinéaste anglais. Et d’une certaine manière ça se comprend tant ce film représente une certaine forme de quintessence de son cinéma, dans le style comme dans la démarche.Ensuite parce que c’est un film que j’ai très récemment revu, qui plus est dans des conditions optimum (…salle Imax de Bruxelles. Un must en la matière.) Et enfin parce que c’est sûrement face à ce film que je comprends le plus les détracteurs de Nolan ; mon dernier visionnage m’ayant amené à partager certains de leurs griefs.Mais bon, j’ai beau parler de griefs que ça ne change rien pour autant à ce que ma note de 9/10 vous annonce déjà. Quand bien même j’aurais des reproches à faire à ce film, cela ne m’empêche pas de le considérer comme une véritable œuvre maîtresse.Une pièce majeure dans le cinéma mondial…Le mieux pour vous parler d’ « Inception » est peut-être d’ailleurs de commencer par ça : par les griefs……ou plutôt devrais-je dire le grief.Parce qu’en effet, à bien tout prendre, pour moi il n’y a qu’un seul vrai problème à cet « Inception » (mais de taille) : c’est la surcharge.…Et une surcharge de tout à dire vrai.Le propos est très dense. Les informations fusent à foison avec des règles qui ne semblent jamais cesser de tomber pour nous expliquer le fonctionnement de cet univers. A cela s’ajoutent différents niveaux de lecture, le tout étant en permanence sur-appuyé par une musique très signifiante et entrecoupé régulièrement de scènes d’actions très nerveuses.Ç’en est presque étouffant. Ça n’arrête jamais. Et tout ça sur presque 2h40…Autant dire qu’il faut aimer être bousculé et surtout aimer l’apnée.Et je l’avoue, lors de mon récent visionnage, j’aurais aimé que ça respire un peu plus. Et pour moi « respirer » ça aurait impliqué de laisser redescendre le tempo de temps en temps, ce qui aurait du coup signifié d’abandonner quelques arcs narratifs, quelques personnages, quelques détails de cet univers, voire même quelques scènes d’action…Parce qu’elles ont beau être mises en scène avec une délectable virtuosité ces scènes d’action, il n’empêche qu’elles cristallisent pour moi l’essentiel de ce problème de surcharge.Loin d’apporter ces temps de respiration tant recherchés, je trouve qu’elles alourdissent au contraire la barque en complexifiant davantage cet univers.
spoiler: 
Moi cette histoire de subconscient qui s’arme pour se défendre des intrus, OK je peux encore la suivre. Mais derrière d’où sortent les armes de ces fieffés cambrioleurs de l’esprit ? Pourquoi une mitrailleuse plutôt qu’un lance-grenade ? Pourquoi ne pas tuer les gens d’un simple claquement de doigt ? Qu’est-ce qui empêche techniquement la chose de se faire ? En quoi un rêveur se défendrait davantage d’une neutralisation aux allures irrationnelles plutôt que d’une ville de New-York qui se transformerait soudainement en vaste aire de painball avec tir à balles réelles ? J’avoue que ça me laisse perplexe. Et ça me laisse d’autant plus perplexe que le film m’invite en permanence à saisir une logique qui, malgré tout, finit toujours par m’échapper plus ou moins…
Une surcharge d’autant plus problématique que, pour ma part, ces scènes d’action ont au final plus nui à mon immersion qu’autre chose.
spoiler: 
Ce moment où Joseph Gordon-Levitt se retrouve à saucissonner tout le monde dans son hôtel afin de recréer une sensation de chute (que de toute façon on ne sent pas à cause du sédatif), à chaque fois ça me laisse perplexe. Non seulement je trouve cette séquence inutilement compliquée, difficilement crédible au regard du temps dérisoire durant lequel elle est censée se réaliser, et (désolé de le dire aussi crument) mais je la trouve aussi assez ridicule à observer.
 D’ailleurs, lors de mon dernier visionnage – connaissant déjà le cœur du propos – j’avoue que sur la fin je me tournais un peu les pouces en attendant que la dernière scène d’action – interminable – se finisse afin d’arriver enfin à ce qui m’intéressait vraiment : le propos, l’émotion, l’humain… Pas étonnant du coup qu’ « Inception » soit devenu la cible préférée des détracteurs de Nolan. Pour tous ceux qui considèrent que le grand spectacle et le cinéma d’introspection n’ont rien à faire ensemble, c’est du pain béni. Parce qu’en effet, dans ce film-là, moi le premier, je dois bien reconnaître que l’action gène le propos et vice-versa.A partir de là il est très facile de réfléchir à tout ce qui aurait pu être mis à la place de ces scènes d’action afin que le film respire mieux. Pour ma part je pense qu’il aurait largement été plus constructif d’oser varier les registres. Parce que l’air de rien, dans « Inception », tous les rêveurs ont un subconscient tout de même bien chaste et bien terne. Où sont les désirs refoulés de la chair et les pulsions sadiques ? Où sont les passions amoureuses et les mondes fantastiques ? …Tout ça, chez les rêveurs de Nolan, ça n’existe pas. A la place on doit se contenter de fantasmes d’employés de bureau dont le seul idéal reste visiblement de jouer aux Légo. Et c’est vraiment dommage, parce que s’il y avait eu moins d’action, moins de règles, moins de personnages, moins d’arcs narratifs et d’escaliers de Penrose, peut-être qu’on aurait pu davantage développer le propos de ce film……Un propos qui, malgré tout ce que j'ai pu dire jusqu'à présent, n'en reste pas moins vraiment brillant. D'autant plus brillant qu'il est totalement pertinent au regard du septième art qu’entend visiter ici Nolan.Et tout ceci nous amène inévitablement à nous poser cette question : au fond que voulait faire et que voulait dire Nolan avec cet « Inception » ?Une question qui en appelle d’ailleurs tout de suite une autre : mais au fond c’est quoi le cinéma de Nolan ?A ces questions, l’auteur a déjà fourni de nombreux éléments de réponses lors de ses précédents long-métrages.Dans « Following » Nolan nous montrait qu’il était juste quelqu’un qui aimait observer les gens puis fantasmer des choses sur eux, au risque d’être lui-même prisonnier de ses propres fantasmes.Un propos qu’on retrouve d’ailleurs quasiment à l’identique dans « Memento », sauf que dans ce deuxième long-métrage, l’emprisonnement de l’individu par le fantasme est subi et voulu à la fois. Un mensonge presque nécessaire pour pouvoir continuer à vivre…Et puis après ça il y a (dans le désordre) « Le Prestige » où Nolan rappelait ses talents de prestidigitation avec le spectateur, mais également « Batman Begins », un conte moderne ; presque un classique du cinéma…En somme, avec ses quatre premiers films d’avant « Inception », Nolan ne cessait déjà de nous marteler qui il était et quel était la quintessence de son cinéma. Nolan est un illusionniste, un rêveur, un fabriquant de fantasmes et de pièges de l’esprit. En d’autres termes, Nolan est un juste cinéaste.Car qu’est-ce que le cinéma si ce n’est une fabrique à rêves et/ou à illusion ? Qu’est-il d’autre si ce n’est un monde imaginaire dans lequel nous, spectateurs, acceptons de nous plonger un instant, au risque de perdre parfois de vue la limite entre le réel et le fictif ?C’est ça la quintessence du cinéma de Nolan. La quintessence du cinéma de Nolan, c’est... le cinéma, tout simplement.Et « Inception » ce n’est rien de plus et rien de moins que ça. C’est du cinéma à l’état brut. C’est du cinéma qui réfléchit à ce qu’il est lui-même en tant qu’art, et qui réfléchit en parallèle au rapport que nous, spectateurs, nous entretenons avec le cinéma.Car au fond, de quoi nous parle « Inception » si ce n’est de l’histoire d’un faiseur de rêve ? …D’un explorateur de l’inconscient qui s’est peut-être un peu trop éloigné du réel un moment – et notamment de ses enfants – au point de se poser la question de l’utilité et de la légitimité de ses actes ? Qui est vraiment Cobb, le héros de ce film ?Un homme qui a perdu le fil de sa réalité. Un homme qui fabrique désormais du rêve pour de gros financiers sans scrupule. Un homme qui fait de la prestidigitation pour tromper et maintenir dans l’illusion. Non pas pour éveiller. Cobb au début n’est qu’un « extracteur » pour reprendre la terminologie du film. Il n’est pas un « incepteur ».Qu’est-ce que l’inception ?C’est la capacité à générer une idée dans un esprit malgré lui. L’idée a été produite dans le monde de l’imaginaire mais l’objectif est qu’elle ait un impact dans le monde bien réel des choses.L’inception, c’est du cinéma.Rien de plus. Rien de moins.Et l’équipe de Cobb n’est rien d’autre qu’une équipe de cinéma. Des faiseurs d’illusions. Des acteurs. Des créateurs de décor. Des gens qui doivent travailler en équipe pour ne pas rompre la suspension consentie d’incrédulité. Le spectateur accepte d’être manipulé à condition que tout cela reste crédible.Pour reprendre une phrase clef du « Prestige » : nous acceptons de ne pas voir le tour car « nous voulons être dupés. »Mais tous ces artifices pourquoi ?Pour l’argent ? Pour satisfaire les plans des grandes entreprises ?…Ou bien tout simplement pour se complaire à rester enfermé dans un rêve ?Non.Et si le film est un peu long et sinueux pour arriver à sa conclusion, il n’empêche que cette dernière n’en reste pas moins limpide.Si l’illusion parvient à libérer d’un poids, à soulager la conscience et à clarifier l’esprit, alors l’action du prestidigitateur aura été noble. 
spoiler: 
N’est-ce pas d’ailleurs ce qui se produit à l’atterrissage du vol Sydney-Los Angeles ?
Tout le monde ne se réveille-t-il pas comme sorti d’une séance de cinéma, retrouvant soudainement le sens des réalités et s’interrogeant sur ce qu’il vient de voir ? Mieux, à ce moment là, chacun n’est-il pas en train de se questionner sur la manière dont il pourrait exploiter dans sa réalité ce qu’il vient tout juste de percevoir et de comprendre dans son rêve ?
Pour moi, le vrai cœur du propos il est là. Il n’est pas dans les questionnements à la con sur des détails qui, pour moi, sont insignifiants et qui sont même sûrement le produit de hasard ou d’idées inabouties que Nolan – dans son effervescence scénaristique – n’a pas su mener jusqu’au bout.
spoiler: 
Je pense notamment à des débats comme « sommes nous encore dans un rêve à la fin quand la toupie n’a pas l’air de vouloir s’arrêter de tourner ? » ou – pire encore – « la toupie est-elle bien le totem de Cobb ce qui nous questionnerait sur le sens profond de son utilité ? »
Pour moi, tout ça, c’est certes de la branlette amusante (je ne dis pas que ce n’est pas intéressant hein), mais je pense sincèrement que ce n’est pas le propos.
Le vrai propos pour moi, il est purement cinématographique.Qu’est-ce qu’on fait de cette machine à rêve ? Comment on l’exploite ? Quel rapport on tisse entre cet espace imaginaire et notre réel ?
spoiler: 
En fait, à la fin, la toupie tourne ou s’arrête selon ce que nous, spectateurs, décidons. Le film se finit là-dessus. Et la question qui nous est posée reste la suivante : est-ce que, nous, spectateurs, décidons de sortir du film ou pas ? On peut décider de rester dans le film et ne pas le connecter à la réalité ; d’en faire une bulle qui ne doit communiquer avec le reste de notre existence. Dans ce cas-là le film est pensé pour satisfaire ce besoin là : on pourra toujours se remémorer cette scène où Cobb sort de son rêve à Mombasa et à la sortie duquel il n’a pas l’occasion de faire son test de toupie… Mais il y a aussi l’autre choix possible. On peut décider, à la fin de ce film, de faire symboliquement tomber la toupie. On accepte de revenir dans la réalité une fois le rideau tombé. On retrouve femme et enfants. Et on ne garde ce film en tête que pour ce qu’il a été : une parenthèse de rêve durant laquelle un auteur anglais plutôt malin a cherché à nous incepter ; à nous questionner sur notre rapport au cinéma.
Alors voilà, moi forcément, à chaque fois que je me retrouve confronté à un propos aussi brillant et pertinent que ça, je ne crache pas dans la soupe et je dis « merci ».D’accord la barque était peut-être surchargée ; d’accord aussi pour dire que l’édifice aurait peut-être mérité d’être construit autrement, avec moins d’action et plus de passion… Seulement voilà, que cela ne nous rende pas aveugle sur tout le reste ; sur la proposition exceptionnelle de cinéma qui nous a été offerte avec ce film.Pour moi ce serait comme refuser de s’ébahir face à la mission Apollo 11 sous prétexte que « bon, ils auraient pu trouver un procédé d’alunissage moins alambiqué. »OK c’est loin d’être parfait. OK c’est américain. OK on aurait peut-être pu dépenser cet argent autrement. Mais dans les faits, ça reste quand-même une sacrée performance.A dire vrai, si je chouine pour ma part avec mon 9/10, c’est juste de frustration. J’aimerais tellement revoir ce film comme lors de la première fois. J’aimerais pouvoir m’émerveiller pleinement de cette découverte sans avoir ce regard désormais plus averti sur quelques scories qui nuisent désormais à mon immersion.Mais bon, tout cela au fond ce n’est que du détail.Cela ne retire rien à l’estime que j’ai pour ce film, à la reconnaissance que j’ai pour cet auteur.Nolan est un vrai cinéaste – un explorateur de l’art – du genre de ceux qu’on ne croise que trop peu souvent.Et c’est quand-même vraiment dommage que certains restent prisonniers de leurs petites cases et se privent de ce qui manque trop aujourd’hui au cinéma : d’un auteur.",1
"5,0","CHEF D’ŒUVRE ! Le film est absolument parfait ! les acteurs sont tous excellent, le scénario est génial et surtout très originale, les effets spéciaux parfaits, on reste concentré du début à la fin sans détourner une seule fois le regard de l'écran, un scénario complexe mais à la fois très simple à comprendre. Le film est très bien rythmé, accompagné d'une musique tout simplement magique et qui reste dans notre tête un bon moment. Un sensation de jamais vu avec ce film, même si certains iront vraiment chercher la petite bête en disant que c'est du déjà vu avec matrix. Quoi qu'il arrive ce film ne peut laisser indifférent, il permet au moins 4 hypothèses différentes concernant la fin et fait réfléchir un sacré bout de temps. Le meilleur de Christopher Nolan avec ""The Dark Knight"" !",2
"5,0","Un film aussi novateur que complexe, dont la mise en scène touche la perfection, nous congratulant de scènes d'action mémorables et d'un casting resplendissant. Christopher Nolan ne cesse de nous impressionner, d'abord par la bande-son grandiose, puis par sa maitrise du septième art.",3
"3,5","Le meilleur blockbuster de 2010 a pour thème la délicate différenciation entre les mondes réels et rêvés en créant des personnages utilisant une étrange technologie pour pénétrer, et manipuler, les rêves d'autrui. Tout le génie scénaristique des frères Nolan repose sur l’explication qu’ils arrivent à donner à l’utilisation de cette science, afin de clarifier la vision du film à priori incompréhensible. Le réalisateur parvient en plus à faire planer un certain doute autour de la distinction entre le réel et l'imaginaire, en particulier dans la scène de fin qui reste sujet à controverse tandis que les scènes où fusent les effets spéciaux impressionnants sont incontestablement oniriques. Cette incertitude constante aurait pu être le point de départ à une vaste interrogation philosophique, telle qu’elle fut exploitée dans Matrix, ou à la mise en place d’une sensation de paranoïa pesant, un peu comme dans Total recall, mais ici l’intrigue se révèle finalement bien trop simple pour rendre le concept efficace et ne semble finalement être que le prétexte à une série de magnifiques effets visuels.",4
"5,0","Christopher Nolan est sûrement l'un des seuls réalisateurs à ne pas avoir connu d'échec. Il l'a prouvé par le passé qu'il a sa place parmi les grands. Son style innovateur et méticuleux, fait de lui un des meilleurs réalisateur d'Hollywood. Inception est un coup de maître. Il n'est pas parfait oui, mais il est innovateur et même s'il a des lacunes, on ne peut que saluer la précision et la complexité du scénario. Soit dit-en passant, le fait que 
spoiler: 
les soldats tirent tout croche vient du fait que le rêve appartient à un membre du groupe et que ce dernier peut forcer la trajectoire des balles et c'est tout à fait logique, même si ça peut être vu comme une passe droit pour que les protagonistes s'en tire !
 Le fait intéressant avec le rêve, c'est qu'il 
spoiler: 
peut pardonner une partie des incongruités du film, car en fin de compte, elles peuvent s'avérés logique.
 La performance des acteurs est brillante et les effets spéciaux sont au service du film et non pas l'inverse. Bref, ce film s'inscrit dans la lignée des films qui cognent à la porte des chef-d'oeuvre, mais qui manquent juste un petit quelque chose. La matrice est philosophiquement totalement différent même si il part d'une idée semblable, mais ce dernier est toutefois pratiquement parfait. Inception est quand à lui un film intelligent et différent qui enfin donne un nouveau souffle au cinéma hollywoodien. Mais avec Nolan, c'est une habitude. Je le conseille à tous, ça fait du bien d'avoir sur nos écran un film qui mélange intelligence et action, blockbuster et essence artistique, direction artistique incroyable et justifié.",5
"5,0","Nolan est un vrai génie. On l'avait déjà entraperçu dans ses premiers films, comme "" Le Prestige "" ou "" The Dark Knight "" et ça se confirme avec "" Inception "". "" Inception "" n'est pas un film réellement abordable, il est complexe. Cet aspect peut en dérouter certains. Ceux qui oseront s'y aventurer plus d'une fois, seront ravis. Nolan signe un pur chef-d’œuvre de science-fiction, mêlant habilement rêve/réalité. D'une main de maître, il nous pose lentement son concept, en prenant soin d'en expliquer toutes les subtilités. Afin que l'on puisse comprendre de ce qu'il en ressort.Au final, Nolan en plus d'être un sacré réalisateur, est aussi un sacré scénariste. On peut s'étonner qu'un être humain ait pu inventer à lui tout seul, tout ce stratagème du subconscient et surtout que ça puisse tenir la route. Là où d'autres ont voulu essayer et se sont littéralement vautrés, Nolan réussit brillamment, avec un talent fou, à mettre son projet de bout en bout avec une perfection irréprochable.Et pour couronner le tout, un Leonardo Dicaprio comme toujours, excellent ; Ellen Page est également touchante dans son rôle et Marion Cotillard est glaçante de marbre. Et Hans Zimmer nous accompagne bien dans ce voyage au cœur du rêve, en composant une bande-originale riche en percussions sonores qui resteront immortelles dans nos oreilles.",6
"4,0",""" inception "" Un film de science fiction très originale et inventif . Le film raconte l'histoire de dom cobbs ( Leonardo dicaprio ) et de son équipe qui s'introduisent dans le rêve d'une personne pendant qu'il dort ( c'est a dire au moment ou le cerveau est le plus vulnérable ) afin de récupèrer dans son subconscient des informations top secrètes . Sa s'appelle l'extraction d'information . Mais suite a une extraction qui a mal tourner dom cobbs se voit dans l'obligation d'accepter un nouveau contrat . Cette fois ci sa mission ne sera plus de récupérer une information dans l'esprit d'une personne mais plutôt d' introduire une idée dans son subconscient . La mission s'annonce des plus périlleuse car ce genre d'expérience n'a jamais été tenter auparavant ... "" inception "" est un film de science fiction très originale et inventif devenu culte . Le scénario est vraiment originale ( mais très complexe ) et fourmille d'idées inventif
spoiler: 
 ( les rêves emboîter dans les rêves , les projections qui défendent le subconscient des intrus , les totems qui servent a savoir dans le rêve de qui on est et pour se rappeler qu'on rêve et qu'on n'est pas dans la réalité comme la toupie qui n'arrête pas de tourner , l'architecte qui doit construire des rêves selon des règles bien précises ... ) 
. l'histoire est originale et captivante celle d'un groupe qui va s'introduire dans le rêve d'une personne pendant qu'il dort pour introduire une idée dans son subconscient mais sa ne sera pas facile et sa va les embarquer dans une aventure incroyable remplit de suspense , de rebondissements et d'action dans un univers ètrange et hostile , celui des rêves . L'histoire personelle de dom cobbs avec sa femme est également très originale et touchante . Le fait que sa femme ne sache plus si elle est dans un rêve ou dans la réalité et qu' elle en arrive a confondre les deux . J'ai beaucoup aimer tout sa. Les acteurs sont au top . Commençons par Leonardo DiCaprio excellent ( comme d'habitude ) dans son rôle de dom cobbs le chef d'une equipe d'agent pas comme les autres qui a pour mission de s'introduire dans le rêve des gens pour recuperer dans leur subconscient des informations top secrete jusqu'au jour ou on lui confine la mission perilleuse d'introduire une idée dans le subconscient d'uns personne . Le reste du casting est également génial avec nottament Hèlen page ( vu dans juno ) , joseph Gordon Levitt ( vu dans the dark knight rises ) , Tom Hardy ( bane dans Batman 3 ) tous excellent dans le rôle des membres de l'équipe de Dom cobbs . sans oublier notre frenchie Marion Cotillard superbe dans le rôle de la femme de dom cobbs . Elle joue superbement bien cette femme un peu deranger et très perturber suite a son experience dans le monde des rêves . Elle est vraiment effrayante par moment . La musique est superbe et colle bien avec l'ambiance du film . La réalisation de christopher nolan est énorme . Les effets spéciaux sont superbes et très réussit ainsi que les décors et donne vie a un univers merveilleux , celui des rêves , ou il fait bon de s'y évader . L'univers des rêves est superbe et donne lieu a des scénes mémorables ( la rue de Paris qui se tord ) et des lieux magnifique ( la superbe ville que se sont construit Léonardo DiCaprio et Marion Cotillard sur la plage ) . Visuellement on en prend plein la vue . Les scénes d'actions sont également superbes et originales nottament la séquence dans l'hôtel avec le couloir qui se retourne et les personnages qui se battent en apesanteur . Je regrette un peu que l'univers des rêves ne soit pas un peu plus pousser . J'aurai aimer en voir plus . J'aurai également voulu voir un peu plus d'action a la matrix comme la scène a l'hôtel un poil trop courte . Mais ne boudons pas notre plaisir c'est un très bon film de science fiction avec un casting de prestige . De plus la scène finale nous laisse totalement perplexe et nous fait cogiter bien après le film. Une fin qui a beaucoup fait parler d'elle et qui a marquer les esprit et qui continue aujourd'hui encore même après de nombreux visionage a nous intriguer et nous questionner . Un film culte qui a marquer l'histoire du cinéma et qui a connu un grand succès en salle lors de sa sortie en 2010 ( plus de 5 millions d'entrées ) .",7
"5,0","Un film époustouflant(un de mes préférés) ! Le scénario est intelligent et tient vraiment en haleine,les acteurs sont tous très très bon.La Bo de Hans Zimmer est vraiment superbe.La mise en scène de Nolan vaut le coup et les scènes d'actions sont géniales(surtout dans l'hôtel). Du très grand cinéma !",8
"5,0","Un Pur Chef D’œuvre. Après Le Prestige & la saga Batman, le réalisateur Christopher Nolan nous livre une nouvelle pépite cinématographique comme il en a le secret. Grace a une Réalisation qui touche la perfection en passant par une BO compose par Hans Zimmer qui procure des frissons tout le long du film. Ensuite les Effets Spéciaux sont absolument Impressionnants ainsi que les Séquences D'Actions qui se révèle démentiels comme la fameuse scène qui se passe dans le couloir en apesanteur qui s’avère être un moment d'anthologie jamais vu au cinéma au service d'une Histoire qui se montre a la fois Innovateur et Complexe en étant Passionnante et réservant des twists complètement surprenants. Et enfin les personnages très fouillé et magnifiquement composé par une Distribution Magistrale rempli de comédiens et comédiennes trés talentueux compose de Léonardo Dicarpio,Marion Cottillard,Ellen Page,Tom Hardy,Joseph Gordon-Levitt,Cillian Murphy,Ken Watanabe et Michael Caine qui livrent une très bonne performance. En Conclusion, Inception est sans conteste l'un des films de SF les plus brillants et réussi des ces dernières années tout en arrivant combiner habilement en un seul film : Espionnage,Science-Fiction,Drame et Action avec classe et qui prouve que Christopher Nolan est un réalisateur révolutionnaire qui entre définitivement au rang des meilleurs cinéastes d'Hollywood. Un Véritable Bijou a voir ou revoir",9
