"Note","Description","key"
"4,0","une bonne suite pour les aventures de sonic au cinéma deja le premier film était super bienun bon divertissement pour toute la famille avec un jim carrey en pleine formeune suite explosive trop cool",0
"5,0","Cette suite de sonic est incroyable !Le fan que je suis est ravi, en 1992 quand j y jouais sur megadrive on m aurait montré ce film je serais devenu dingue !L univers du jeu est parfaitement respecté, avec amour et passion 
spoiler: 
 Tails et son avion, knuckle, robotnik et ses robot guêpes, sonic au fond de l eau qui absorbe des bulles d oxygene, les émeraudes, les clins d œil à droite à gauche qui rendent hommage au jeu, et bon sang la transformation en SUPER SONIC !!!!! Juste magnifique 
 l'histoire est toujours aussi sympathique avec Sonic et sa petite famille adoptive, et Jim Carrey est incroyable en Eggman...Ce film est une merveille vivement la suite",1
"3,0","Malgré deux nouveaux personnages de l'univers du jeu vidéo ""SONIC"" (Knuckles et Tails), nous sommes assez loin de la catchline de l'affiche ""2 fois plus de fun"".On tend plutôt vers ""2 fois moins d'étonnement"" si l'on se réfère au premier opus sorti en 2020, qui avait le double mérite de la nouveauté et de l'effet de surprise.C'est malheureusement le risque avec les ""suites"", il faut savoir conforter les fans dans une zone connue et appréciée, mais réussir également à relancer l'intérêt en osant quelques nouvelles recettes...Ce Sonic version 2 distrait et amuse dans un rythme souvent soutenu, c'est certain, mais n'arrive pas vraiment à insuffler quelque chose de totalement novateur en comparaison de son prédécesseur.Jim Carrey est par contre toujours aussi piqué et succulent !!Assez plaisant, mais finalement un léger ton au-dessous du numéro 1.Site CINEMADOURG.free.fr",2
"4,0","Très bon film ont retrouve ce qui fait l’esprit de Sonic dans ce film clairement un cran en bas du premier je trouve mais reste un très bon film d’aventure d’action familiale pour toutes la famille foncé le voir vous ne s’aurait pas déçu 😉😊",3
"4,0","Super film de ouf, le fait que Knuckles soit du côté d'Eggman au début, les références aux jeux de base et la fidélité aux jeux de base c'est vraiment un truc que j'ai vachement apprécié dans tout le film, l'inclusion de Tails, Knuckles, la Master Emerald
spoiler: 
, les Chaos Emeralds et même SUPER SONIC
 c'est vraiment très fun à regarder en tant que fan de Sonic surtout les scènes où Sonic court vite (ça semble bête à dire comme ça mais 
spoiler: 
par exemple la scène où Sonic court sur l'eau et esquive les vagues
 c'est vraiment cool), 
spoiler: 
la scène de course poursuite entre Knuckles et Sonic & Tails, dans le temple de la Master Emerald, et surtout le combat final
 bref y'a plein de trucs très stylés dans ce film, la CGI marche super bien, la VF est bien notamment Sonic Tails et Knuckles qui ont des super voix, même Sonic n'en déplaise à tous les haters de Malik Bentalha bref c'est un film très sympa même si 
spoiler: 
y'a des scènes avec les humains franchement pas super utiles mais qui sont plus fun que dans le premier
 donc ça va tranquille. 
spoiler: 
Puis la scène post-crédit qui annonce un 3 avec SHADOW ça me hype bien",4
"2,5","Bon alors je trouve que la transposition de l'univers Sonic dans le monde réel est assez réussie, les personnages sont attachants et l'écriture est plutôt correcte. Les personnages rigolos se succèdent et Jim Carrey est succulent en Robotnik complètement barge. Bon par contre c'est vrai que passé 12 ans on risque de s'ennuyer tant le scénario est plat, les quarantenaires en quête de références s'approchant du matériau orignal seront aussi un peu déçus par le manque de substance. Disons que ça aurait pu être pire.",5
"1,5","Une suite uniquement tournée vers les plus jeunes avec ses gags de cour de récré et son histoire gorgée de bons sentiments niais, dans laquelle Jim Carrey semble venir uniquement récupérer son dernier chèque (il souhaite vraiment arrêter sa carrière sur ce rôle ? Ce mastodonte du cinéma mérite mille fois mieux...). Aussi, si vous voulez vous offrir deux heures de roupillon salvateur tandis que les marmots rigolent, Sonic 2 est idéal, à la limite d'être remboursé par la Sécu. Et si vous y allez sans marmot, vous pouvez déjà vous préparer à voir une intrigue de mariage longue et ridicule digne d'une série B américaine, deux nouveaux personnages (Tails et Knuckles) doublés avec des voix encore plus irritantes que celle de Malik Bentalha (on ne pensait pas cela possible, ils nous ont prouvé l'inverse), un Jim Carrey assez dispensable (il passe nettement après le trio Sonic / Tails / Knucles, sauf dans un final qui se rappelle qu'il existe et l'exploite vingt minutes), une durée infernale (2h05...qu'on a vraiment senties passer), et évidemment le niveau des gags qui ne vous est pas destiné (assez consternant si on n'a plus 5 ans). Ceci dit, les effets spéciaux ne sont pas vilains (les animations des créatures numériques sont bien faites, si seulement les figurants pouvaient se donner la peine de regarder au bon endroit...), la morale bienpensante dégoulinant de bons sentiments ne fait pas de mal aux enfants, et ces derniers passent généralement un bon moment (ceux de la salle étaient très réceptifs, les parents beaucoup moins). On a passé un moment long, très long, se sentant vraiment oublié par le niveau des vannes (aucune pour les plus de 8 ans), agacé par les doublages irritants, et désolé pour le fameux Jim qui est ici une marionnette tristement dispensable. Même le magnifique travail de doublage d'Emmanuel Curtil, à saluer encore, ne réussit pas à sauver son modèle, délirant dans l'opus précédent, transparent dans celui-ci. A réserver aux tout-petits.",6
"4,0","Grand fan de Sonic, j'ai fait quelques kilomètres pour trouver une séance en VOSTFR (à recommander). Sonic 2 est la digne suite du premier, avec tout en plus : vannes, scènes d'action, Sonic qui court vite. Knuckles prend toute sa place, le robotnik de Jim Carrey est encore plus fou, Tails est.. oubliable mais mignon ? Même les personnages humains ont quelques bonnes scènes bien marrantes. N'oubliez pas de rester pour la scène post-gen qui vaut le détour... Trop hâte de voir la suite !",7
"4,0","Super à voir en famille, parent enfants, aucun des deux ne vont s'ennuyer, bien rythmé avec des scènes que j'ai trouvé amusantes.(Jim Carrey toujours aussi exceptionnel dans ce personnage).",8
"5,0","Franchement la presse abuse sur la note j'ai eu des frissons du début jusqu'à la fin aucun décrochage du film qu'elle chef d'oeuvre et en plus rester bien jusqu'à la fin du film vous aurez une sacré suprise après le generique et les personnages également bien mis en avant l'histoire vraiment bien et très toucher mon coup de cœur",9
"1,0","Jamais drôle, ni surprenant, même souvent gênant, Sonic 2 est un ramassis de mauvaise idée qui ne convaincra personne, encore moins par son esthétique et son scénario, aussi vide qu'une huître déjà mangé et tellement bête qu'on pourrait te faire croire que les Mammouths existe encore. Bref, je le conseille vraiment pas.",10
"1,5","""Sonic 2"" est une suite paresseuse et opportuniste qui ne conserve que les défauts de son prédécesseur. C'est souvent très laid, assez stupide et sans grand intérêt...https://www.cineserie.com/critiques/cine/sonic-2-une-suite-opportuniste-5008542/https://www.cineserie.com/news/cinema/sonic-2-focus-sur-la-scene-post-generique-5014261/https://www.cineserie.com/news/cinema/sonic-2-idris-elba-a-improvise-une-partie-des-dialogues-de-knuckles-5030788/",11
